claim_id,claim_category,claim_statement,claim_status,empirical_evidence_metric,scientific_justification_and_boundary,manuscript_drafting_guideline
CLAIM-11,Minor Factor Stability,All 15 MOFA latent factors are uniformly stable and independently reproducible across cross-validation runs.,UNSUPPORTED_OVERSTATED,"Factors 10-15 exhibit mean correlations of r = 0.56 - 0.67, exact ID matches < 25%, and selection frequencies < 36%.",Higher-order MOFA factors capture minor noise/focal variance and undergo rotational mixing across subsamples.,STRICTLY PROHIBITED. Acknowledge that stability is strong for top factors (Factors 1-5) but attenuates for higher-order factors.
CLAIM-12,Incremental Value Over Clinical Covariates,"Combining multi-omics latent factors with standard clinical staging variables (Age, Gender, AJCC Stage, Grade) yields a modest increase in discrimination (25-fold mean C = 0.6120 vs 0.5974 clinical-only; Delta C = +0.0146, paired t p = 0.272; 5-repeat pooled C = 0.6097 vs 0.5883).",DIRECTLY_SUPPORTED,"25-fold nested CV benchmark: Clinical C = 0.5974, Multi-omics C = 0.5875, Combined C = 0.6120; Delta C = +0.0146; pooled 5-repeat Delta C = +0.0214.","Rigorous, pre-specified in-fold benchmark without post hoc feature engineering.",Characterize the incremental prognostic value of multi-omics beyond clinical staging as modest (+1.5 to +2.1 percentage points) and non-significant at fold level.
CLAIM-13,Clinical Staging Replacement,The multi-omics signature significantly outperforms clinical staging and can immediately replace AJCC TNM stage in clinical practice.,UNSUPPORTED_OVERSTATED,Multi-omics alone (C = 0.5875) does not surpass clinical staging alone (C = 0.5974). Delta C is +0.0146 and not statistically significant (p = 0.272).,Directly contradicted by empirical data. Multi-omics does not outperform clinical stage alone and provides only incremental support when combined.,STRICTLY PROHIBITED. Explicitly state that multi-omics complements rather than replaces clinical staging.
CLAIM-14,Clinical Diagnostic Readiness,The developed multi-omics model is clinically validated and ready for diagnostic or therapeutic decision-making at the bedside.,UNSUPPORTED_OVERSTATED,"Development C-index is ~0.59-0.61, holdout C-index is 0.62, holdout risk stratification HR is 0.834 (p = 0.695).","A C-index of ~0.60 represents research-grade prognostic discrimination, far below the threshold required for clinical adoption (> 0.75-0.80).","STRICTLY PROHIBITED. Frame the pipeline strictly as an exploratory research methodology, explicitly denying clinical biomarker readiness."
CLAIM-15,Preprint Discrimination Overstatement,The multi-omics pipeline achieves excellent survival discrimination with Concordance index exceeding 0.75 to 0.85.,UNSUPPORTED_OVERSTATED,25-run nested CV multi-omics C-index is 0.5875 (SD = 0.0707); holdout C-index is 0.6200.,"Preprint claims of C > 0.80 were artifacts of fatal data leakage (full-cohort MOFA2 and un-split feature selection). Under strict nested cross-validation, honest C is ~0.59.",STRICTLY PROHIBITED. Emphasize honest out-of-fold performance (~0.59) and holdout evaluation (0.62) as the true unbiased benchmarks.
CLAIM-16,Brier Score Calibration Benchmark,An Integrated Brier Score (IBS) or Brier score below 0.25 constitutes definitive mathematical proof of excellent absolute survival calibration.,UNSUPPORTED_OVERSTATED,A null uninformative model predicting a constant 50% survival probability yields an IBS of exactly 0.25 (0.5^2 = 0.25).,"Methodological fallacy. IBS < 0.25 is merely the uninformative null threshold. Mean 3-year Brier scores here are ~0.222-0.229, indicating modest accuracy.",STRICTLY PROHIBITED. Report Brier scores (0.222-0.229) accurately against null reference baselines without claiming 'perfect calibration'.
CLAIM-17,Probabilistic Calibration Performance,"The combined model demonstrates acceptable absolute calibration at 3 years, slightly reducing IPCW prediction error compared to clinical alone (mean Brier 0.2225 vs 0.2297).",DIRECTLY_SUPPORTED,"IPCW 3-year Brier score: Combined = 0.2225, Omics = 0.2275, Clinical = 0.2297 across 25 folds.",Empirical calculation using in-fold Breslow cumulative baseline hazard and inverse probability of censoring weights.,Report the modest reduction in Brier score as evidence of consistent probabilistic calibration.
CLAIM-18,Holdout Kaplan-Meier Stratification,The multi-omics model achieves statistically significant risk stratification into high- and low-risk survival groups on the independent N=65 holdout.,UNSUPPORTED_OVERSTATED,"Single holdout evaluation: Log-rank p = 0.695, Dichotomized Cox HR = 0.834 (95% CI: 0.339 - 2.052).","Directly disproven by the single holdout evaluation. Continuous discrimination held (C = 0.6200), but median binarization failed to achieve statistical separation.","STRICTLY PROHIBITED. Transparently state that while continuous concordance was preserved (C = 0.62), median threshold binarization on N=65 was not statistically significant."
CLAIM-19,Holdout Concordance Generalization,Continuous multi-omics risk scores generalize to the locked N=65 holdout cohort without performance collapse (Holdout C = 0.6200 vs CV C = 0.5875).,DIRECTLY_SUPPORTED,N=65 Holdout Harrell's C-index = 0.6200 (se = 0.0573); CV mean C = 0.5875.,"Empirical fact from the single, locked evaluation of the N=65 holdout.",Report holdout concordance as evidence that continuous ranking ability generalizes without overfitting.
CLAIM-20,Holdout Integrity & Zero Leakage,"The independent N=65 holdout cohort was evaluated exactly once, remained strictly quarantined throughout all biological and clinical enrichment analyses, and underwent zero retraining or threshold tuning.",DIRECTLY_SUPPORTED,"Audit trail confirmed: zero access to N=65 holdout data files during Phases 1, 2, 3, or 4.",Strict computational quarantine enforced by protocol and verified by file access logs.,Reiterate the strict holdout quarantine in the Methods section as a cornerstone of reproducibility.
